#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321A36A5A
#Date Time: 2020-02-14 13:17:47.070
#Start: 5 Hz
#Stop: 50 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.4125 V
#Offset: -0.000188385 V
#Relative: no
#Channel: Channel 2
#Range: 5.49784 V
#Offset: 5.94039e-06 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
5,-23.73274548451895,3.265328150005224,1.625245815205687
5.077344962165402,-23.38500743444419,3.385313364220829,1.645082766459637
5.155886372965276,-23.05164462154979,3.531510511582789,1.425093203825583
5.235642740254498,-22.68766034549385,3.691813576045613,1.472215772836535
5.316632858185805,-22.19146855474561,3.829244728264733,1.408302114931907
5.398875811638549,-21.57928308965566,4.028681454611418,0.583347189845929
5.482390980715925,-20.85946150393004,4.22601797185509,0.556886344378583
5.567198045311807,-20.13760940442601,4.375925956102948,-0.009710415499597502
5.653316989748195,-19.47058226246959,4.573349829742788,0.1656400534304083
5.740768107484414,-18.80649104232674,4.764577506757673,0.1918050229962489
5.829572005899158,-18.26209317205357,4.952586541113316,0.2704317304391282
5.91974961114651,-17.60915245837157,5.154105615598525,-0.01444852813746422
6.011322173087064,-16.91454773981127,5.39331644877833,-0.5452062823579809
6.104311270295356,-16.22314803747762,5.606335625656785,-0.5455546842782013
6.198738815144722,-15.4339472992172,5.82229801903634,-0.9221847956384952
6.294627058970836,-14.62161987187531,6.014948124536276,-1.136493627189473
6.391998597315118,-13.8724277230682,6.26778661220925,-1.09850626467275
6.490876375249245,-13.4547641039549,6.575382489558221,-0.866977537552529
6.591283692782035,-13.04432749069822,6.912248517482676,-0.8409023270250486
6.693244210349966,-12.85011006818579,7.304216898530328,-0.8586028241113297
6.796781954392628,-12.82996883853336,7.751057193596901,-0.9339059152144387
6.901921323014425,-13.00949543184467,8.231017934233973,-1.122075255044493
7.008687091733851,-13.45341761577431,8.768002052063745,-1.116678769446338
7.117104419321708,-14.15202793800098,9.364931396536587,-1.317975872312447
7.227198853729639,-14.9509499901935,10.02809633975351,-1.493551237859968
7.338996338110347,-16.07285277331279,10.77147210651152,-1.779761508381782
7.45252321693098,-17.33979240130648,11.63527644673085,-2.203905944824299
7.56780624218104,-18.70130060539249,12.61178099538241,-2.674479532287194
7.684872579676356,-20.16227847120229,13.73482961168136,-3.165515216110904
7.803749815460558,-21.90253744836191,15.11779869677957,-4.091921657731611
7.924465962305567,-23.84652544865713,16.80623529932328,-5.01011296201165
8.047049466312673,-26.30952121581734,19.05206232744736,-6.854180822434259
8.171529213615688,-29.89957129277282,22.25081846481936,-10.86301926620362
8.297934537187803,-35.65299345718463,27.49998231667964,-21.70559087919059
8.426295223753758,-44.40203402717439,35.64796330622215,-86.07784415155074
8.556641520808906,-36.92479882837051,27.8974443492237,-155.3495759352137
8.689004143746876,-30.891249749118,21.6153702506286,-167.6007917415964
8.823414283097501,-27.49172625093275,17.8943364577167,-171.8992528976285
8.959903611876669,-25.10834679886138,15.19361476313344,-173.5377635833383
9.098504293049919,-23.16201730668545,12.99520666541519,-174.7792025335719
9.239248987111454,-21.51852657255178,11.15227020470355,-175.6570661770743
9.382170859780425,-19.99618476703452,9.531883135224048,-176.1903301055328
9.527303589816237,-18.65121502673578,8.08253281034278,-176.7719695541124
9.67468137695476,-17.4275613847774,6.772327152707735,-177.235255233379
9.824338949967338,-16.22258673413165,5.519868492241943,-177.7957803357285
9.976311574844399,-15.1784169036353,4.414834310435023,-177.8573206214308
10.13063506310572,-14.1096995103512,3.32549285169653,-178.147563487745
10.2873457802392,-13.1187783464016,2.304439273508908,-178.2368165363682
10.4464806542702,-12.26191861470456,1.306805125247488,-178.2624772028399
10.60807718446342,-11.4072001020583,0.3804936792143377,-178.3467137893068
10.77217345015942,-10.48226583038847,-0.5222274248358442,-178.4072992124949
10.93880811974776,-9.717127737056627,-1.480692478049037,-178.2855255032897
11.10802045977906,-8.918263295545419,-2.397462669820649,-178.4411906398493
11.27985034421788,-8.255853631851897,-3.289715987150978,-178.3088271089029
11.45433826383887,-7.551567301731795,-4.229270976343633,-178.254040719248
11.63152533576813,-7.035925777383548,-5.155070771050405,-178.1734289498095
11.81145331317231,-6.62350799597843,-6.122224067438625,-178.0307968092848
11.99416459509745,-6.3179146106084,-7.087755601568098,-177.9540775381814
12.17970223646014,-6.119598014563408,-8.060843116540021,-177.7979704636502
12.36810995819311,-5.980755915107117,-9.058658904093097,-177.738065365829
12.5594321575479,-5.942096092627429,-10.12418868965005,-177.6634845664384
12.7537139185568,-6.011299455609933,-11.28077137427115,-177.533923127002
12.95100102265662,-6.11261704118582,-12.47975456540748,-177.5438344125924
13.15133995947691,-6.300127029592671,-13.80301229526288,-177.4004872729738
13.35477793779493,-6.481692132521708,-15.29666202225984,-177.5774744939222
13.56136289666014,-6.907877954355033,-17.159895557678,-177.3396729238352
13.77114351669083,-7.417309606766055,-19.32590461056579,-173.8314539879113
13.98416923154539,-7.795781361381009,-20.81069784429823,-168.6217433807693
14.20049023957108,-7.812545429574095,-25.40033625315282,174.7106928340403
14.42015751563303,-7.912322427570287,-29.63668035462137,-171.3969029129642
14.64322282312618,-8.252375964223464,-45.88262938075901,-122.439558716076
14.86973872617303,-8.628009873750019,-32.89716523376176,-3.607807465590554
15.09975860201008,-8.637898784409758,-25.40637506437617,1.424433015238964
15.33333665356592,-8.405636369686023,-22.17797002896644,-2.313910344583135
15.5705279222338,-8.312601707679532,-19.65194481571963,-1.763967496279321
15.8113883008419,-8.374255139748243,-17.8593638284394,-1.719678540783477
16.05597454682411,-8.479024516357219,-16.47777241797527,-1.770819126293596
16.30434429559466,-8.591174793410378,-15.19607312531027,-1.412055129040624
16.55655607412956,-8.77864040699049,-14.06372064093821,-1.512820065042888
16.81266931475813,-8.98776266394793,-13.08351020319293,-1.672169277930699
17.07274436916801,-9.233957005994014,-12.17092969741646,-1.585505479987006
17.33684252262658,-9.447328407533892,-11.34248723032509,-1.585323130772771
17.60502600842259,-9.703355299147342,-10.52303280869239,-1.57638285846231
17.87735802253107,-10.04554918225099,-9.77383000695146,-1.644625064920177
18.15390273850507,-10.41108613562286,-9.025074886380057,-1.652540722491885
18.43472532259787,-10.66460718584072,-8.326537675461438,-1.937813308924547
18.71989194911906,-10.49969848145699,-7.6980446685502,-1.846873789388511
19.00946981602806,-10.37734388890517,-6.998259508113501,-1.316303380633158
19.30352716076906,-10.52114225310318,-6.252358932532989,-1.019190289378258
19.60213327635076,-10.71461159246328,-5.485793979850683,-1.070971033894502
19.90535852767486,-11.01926721272014,-4.707761236365793,-0.9055721038898241
20.21327436811722,-11.19348727751429,-3.89601570001597,-0.8016059510907212
20.52595335636539,-11.40995671509042,-2.973234431940747,-0.6840775126196661
20.84346917351677,-11.51357831934875,-2.116257416494014,-0.2922498969345781
21.16589664044104,-11.73605191437482,-1.081264903543248,-1.033721079597123
21.49331173541138,-11.94206586991686,-0.1317352729853049,-2.836811063137873
21.8257916120083,-12.12987153981814,0.7376119021812971,-0.9433408018834548
22.16341461730044,-12.30592064392682,1.570508156058895,-1.080208481810132
22.50626031030668,-12.51725126301302,3.10210187233431,5.874509830708767
22.85440948074375,-13.05198081654926,6.376059422776727,2.593192239936116
23.20794416806389,-13.41687615655711,8.43555025673915,4.305329612376454
23.56694768078702,-14.40885467510339,12.41548333502897,-3.67132280354658
23.93150461613192,-15.53662774787998,15.79628369900527,-28.44485267005626
24.30170087995108,-17.3098358410367,19.99215369298681,-34.73370195166782
24.67762370697403,-16.0514324460494,23.12424302067962,-111.7076267079931
25.05936168136361,-6.942074883097328,17.51288052874908,-158.9656241337455
25.44700475759045,-6.050017713787198,13.87472040772417,162.7384131330033
25.84064428163018,-10.61150441382436,7.749978071653596,-140.6906005213294
26.24037301248863,-11.03119797208471,0.4284860839059229,125.1598169105461
26.64628514406002,-11.39769383053234,-4.767134373800968,127.1374380731998
27.05847632732318,-11.30836413648038,3.021859120008902,-135.2791644313879
27.47704369288122,-10.44908262979869,3.972517939719407,169.5221425881002
27.90208587384982,-11.06683364752829,1.89808699801127,-162.6624329204924
28.33370302909956,-11.32328098966271,-0.1794667411904089,-165.0041750306707
28.77199686685785,-11.28213933050908,-0.07211894464897961,-176.7786804927625
29.21707066867588,-11.56271151938554,-2.886797865948809,170.8605101974592
29.6690293137664,-11.70708712010309,-2.750318817530797,-177.4532193766666
30.12797930371789,-11.81780746588522,-4.264563442174802,-177.9616983537097
30.59402878759109,-11.97711095175871,-4.948047117051646,-178.5215503888969
31.06728758740379,-12.0951188989156,-5.405973804094694,-178.2780377934923
31.54786722400967,-12.02989643330853,-5.827134826438788,179.917451498833
32.03588094337768,-12.12952397535197,-6.460585560579347,-178.9525855621396
32.53144374327786,-12.20615511174172,-7.009096666057387,-179.7203964800231
33.0346724003798,-12.2682599278216,-7.516113868601249,-179.7858817883754
33.54568549777056,-12.35771073289342,-7.999046713250967,179.9173088714097
34.06460345289807,-12.42327663600181,-8.467443372742306,-179.9215829440823
34.59154854594682,-12.47916609067598,-8.922416222709028,179.8941757718776
35.12664494865261,-12.56661663382954,-9.342966413099189,-179.8882006350508
35.67001875356281,-12.60010317448272,-9.781100975914681,-179.9993550202437
36.2217980037495,-12.6706031060953,-10.18261432599239,-179.9673003024176
36.78211272298207,-12.70011087594942,-10.58226993554165,179.8873140056465
37.35109494636657,-12.7905636478674,-10.94475886705432,179.83609299717
37.92887875145919,-12.83097158696314,-11.31257043414803,179.6108975969526
38.51560028986074,-12.90956400951926,-11.71228506664393,179.7325582759046
39.11139781930012,-12.87649045004858,-12.08866195283844,179.6651097071477
39.71641173621408,-12.91279892358785,-12.36916738431209,179.8622680477127
40.33078460883067,-12.95538744951172,-12.80657047288907,179.1552867482137
40.95466121076486,-12.97077626881404,-13.05436553271904,179.8823708032437
41.58818855513356,-13.06084407418907,-13.39410810626453,179.8068054364071
42.23151592919842,-13.06006336242127,-13.77340411195498,179.3344743638229
42.8847949295447,-13.11977856052791,-14.08123258458672,179.6215499768409
43.54817949780403,-13.15286835506319,-14.393329435429,179.0055821076676
44.22182595692998,-13.20020459821126,-14.72198259238563,179.0973776124509
44.90589304803473,-13.19830589454758,-14.98365866509356,179.0367832833043
45.60054196779548,-13.26394040260272,-15.29107022141886,179.8726242106397
46.30593640643967,-13.27430758773928,-15.55983050907729,179.4597278590599
47.02224258631759,-13.32070655479887,-15.77627876804921,179.3787328901059
47.74962930107179,-13.33050046036219,-16.0723410825718,179.5105303759756
48.48826795541247,-13.33625035247073,-16.35427678061583,179.5032329946145
49.23833260550791,-13.37311317103704,-16.55570542859049,179.668294409258
50,-13.41361197407717,-16.80760850714136,179.729800446612
